,No.,Name,Position,Year,Height,Goals,Assists,Ds,Turns,url,Team,Seed,UpperName
14,22,Julia Schmaltz,,,"5'10""",3,0,3,6,/events/teams/?EventTeamId=Dkv3iqOwla5Z4rshqQAyBD31aejzYcXdQzY4vb%2ftor0%3d,Showdown,12,JULIA SCHMALTZ
15,23,Lillian White,Deep,,"5'5""",0,0,1,0,/events/teams/?EventTeamId=Dkv3iqOwla5Z4rshqQAyBD31aejzYcXdQzY4vb%2ftor0%3d,Showdown,12,LILLIAN WHITE
16,24,Susan Gilbert,,,,1,0,2,1,/events/teams/?EventTeamId=Dkv3iqOwla5Z4rshqQAyBD31aejzYcXdQzY4vb%2ftor0%3d,Showdown,12,SUSAN GILBERT
17,25,Tina Woodings,,,,2,2,1,4,/events/teams/?EventTeamId=Dkv3iqOwla5Z4rshqQAyBD31aejzYcXdQzY4vb%2ftor0%3d,Showdown,12,TINA WOODINGS
18,27,Jamie Eriksson,Cutter,,"6'0""",1,0,0,0,/events/teams/?EventTeamId=Dkv3iqOwla5Z4rshqQAyBD31aejzYcXdQzY4vb%2ftor0%3d,Showdown,12,JAMIE ERIKSSON
19,28,Anne Ortiz,Handler,,"5'6""",0,0,1,0,/events/teams/?EventTeamId=Dkv3iqOwla5Z4rshqQAyBD31aejzYcXdQzY4vb%2ftor0%3d,Showdown,12,ANNE ORTIZ
20,29,Michelle Arceneaux,,,"5'9""",2,0,1,0,/events/teams/?EventTeamId=Dkv3iqOwla5Z4rshqQAyBD31aejzYcXdQzY4vb%2ftor0%3d,Showdown,12,MICHELLE ARCENEAUX
21,31,Ashley Shelor,Defense (Cutter),,"5'6""",1,0,2,2,/events/teams/?EventTeamId=Dkv3iqOwla5Z4rshqQAyBD31aejzYcXdQzY4vb%2ftor0%3d,Showdown,12,ASHLEY SHELOR
22,32,Rebecca Forth,,,"1'0""",2,0,3,6,/events/teams/?EventTeamId=Dkv3iqOwla5Z4rshqQAyBD31aejzYcXdQzY4vb%2ftor0%3d,Showdown,12,REBECCA FORTH
23,41,Alexandra Klein,,,,1,0,0,0,/events/teams/?EventTeamId=Dkv3iqOwla5Z4rshqQAyBD31aejzYcXdQzY4vb%2ftor0%3d,Showdown,12,ALEXANDRA KLEIN
