,No.,Name,Position,Year,Height,Goals,Assists,Ds,Turns,url,Team,Seed,UpperName
17,27.0,Dominic Cavalero,Defense (Handler),,,4,3,3,6,/events/teams/?EventTeamId=KY%2f3zV3MHncJjMHZDZ%2bpGVZQk3WTb1jc%2bTTgqUHmlpQ%3d,Seattle Mixtape,6,DOMINIC CAVALERO
18,28.0,Claire Revere,Mid,,"5'5""",10,6,1,2,/events/teams/?EventTeamId=KY%2f3zV3MHncJjMHZDZ%2bpGVZQk3WTb1jc%2bTTgqUHmlpQ%3d,Seattle Mixtape,6,CLAIRE REVERE
19,32.0,Emily Smith-Wilson,Mid,,,3,1,3,1,/events/teams/?EventTeamId=KY%2f3zV3MHncJjMHZDZ%2bpGVZQk3WTb1jc%2bTTgqUHmlpQ%3d,Seattle Mixtape,6,EMILY SMITH-WILSON
20,34.0,Brian Stout,Dump,,"6'4""",0,0,0,0,/events/teams/?EventTeamId=KY%2f3zV3MHncJjMHZDZ%2bpGVZQk3WTb1jc%2bTTgqUHmlpQ%3d,Seattle Mixtape,6,BRIAN STOUT
21,50.0,Nicholas Dare,Handler,,"6'1""",2,1,2,2,/events/teams/?EventTeamId=KY%2f3zV3MHncJjMHZDZ%2bpGVZQk3WTb1jc%2bTTgqUHmlpQ%3d,Seattle Mixtape,6,NICHOLAS DARE
22,58.0,Paige Kercher,Handler,,"5'6""",3,3,0,3,/events/teams/?EventTeamId=KY%2f3zV3MHncJjMHZDZ%2bpGVZQk3WTb1jc%2bTTgqUHmlpQ%3d,Seattle Mixtape,6,PAIGE KERCHER
23,71.0,Arianne Lozano,Defense (Cutter),,"5'5""",4,0,2,1,/events/teams/?EventTeamId=KY%2f3zV3MHncJjMHZDZ%2bpGVZQk3WTb1jc%2bTTgqUHmlpQ%3d,Seattle Mixtape,6,ARIANNE LOZANO
24,81.0,Lani Nguyen,Handler/Cutter,,"5'3""",8,4,0,1,/events/teams/?EventTeamId=KY%2f3zV3MHncJjMHZDZ%2bpGVZQk3WTb1jc%2bTTgqUHmlpQ%3d,Seattle Mixtape,6,LANI NGUYEN
25,99.0,Khalif El-Salaam,Defense (Cutter),,,8,12,9,5,/events/teams/?EventTeamId=KY%2f3zV3MHncJjMHZDZ%2bpGVZQk3WTb1jc%2bTTgqUHmlpQ%3d,Seattle Mixtape,6,KHALIF EL-SALAAM
0,0.0,Rosalyn Ano,,,,0,0,0,0,/events/teams/?EventTeamId=FaEUC6ha8nN2m%2fGl4O2u8BRXs2S9kOagqCY14CNtwOE%3d,Slow White,4,ROSALYN ANO
1,0.0,Hannah Baranes,,,,0,0,0,0,/events/teams/?EventTeamId=FaEUC6ha8nN2m%2fGl4O2u8BRXs2S9kOagqCY14CNtwOE%3d,Slow White,4,HANNAH BARANES
2,0.0,Patrick Barron,Defense (Cutter),,"6'2""",0,0,0,0,/events/teams/?EventTeamId=FaEUC6ha8nN2m%2fGl4O2u8BRXs2S9kOagqCY14CNtwOE%3d,Slow White,4,PATRICK BARRON
3,0.0,Ryan Cardinal,,,"5'9""",0,0,0,0,/events/teams/?EventTeamId=FaEUC6ha8nN2m%2fGl4O2u8BRXs2S9kOagqCY14CNtwOE%3d,Slow White,4,RYAN CARDINAL
4,0.0,Shaun Doherty,Mid,,"5'11""",0,0,0,0,/events/teams/?EventTeamId=FaEUC6ha8nN2m%2fGl4O2u8BRXs2S9kOagqCY14CNtwOE%3d,Slow White,4,SHAUN DOHERTY
5,0.0,Thomas Ferguson,,,"5'11""",0,0,0,0,/events/teams/?EventTeamId=FaEUC6ha8nN2m%2fGl4O2u8BRXs2S9kOagqCY14CNtwOE%3d,Slow White,4,THOMAS FERGUSON
6,0.0,Caitlin Fitzgerald,Handler/Cutter,,"5'5""",0,0,0,0,/events/teams/?EventTeamId=FaEUC6ha8nN2m%2fGl4O2u8BRXs2S9kOagqCY14CNtwOE%3d,Slow White,4,CAITLIN FITZGERALD
7,0.0,Caitlin Go,,,,0,0,0,0,/events/teams/?EventTeamId=FaEUC6ha8nN2m%2fGl4O2u8BRXs2S9kOagqCY14CNtwOE%3d,Slow White,4,CAITLIN GO
8,0.0,Leanne Go,,,"5'5""",0,0,0,0,/events/teams/?EventTeamId=FaEUC6ha8nN2m%2fGl4O2u8BRXs2S9kOagqCY14CNtwOE%3d,Slow White,4,LEANNE GO
9,0.0,Olivia Hampton,,,,0,0,0,0,/events/teams/?EventTeamId=FaEUC6ha8nN2m%2fGl4O2u8BRXs2S9kOagqCY14CNtwOE%3d,Slow White,4,OLIVIA HAMPTON
10,0.0,Walker Hatchett,,,,0,0,0,0,/events/teams/?EventTeamId=FaEUC6ha8nN2m%2fGl4O2u8BRXs2S9kOagqCY14CNtwOE%3d,Slow White,4,WALKER HATCHETT
11,0.0,Todd Herman,,,,0,0,0,0,/events/teams/?EventTeamId=FaEUC6ha8nN2m%2fGl4O2u8BRXs2S9kOagqCY14CNtwOE%3d,Slow White,4,TODD HERMAN
12,0.0,Tess Johnson,,,,0,0,0,0,/events/teams/?EventTeamId=FaEUC6ha8nN2m%2fGl4O2u8BRXs2S9kOagqCY14CNtwOE%3d,Slow White,4,TESS JOHNSON
13,0.0,Shaun Krieger,,,,0,0,0,0,/events/teams/?EventTeamId=FaEUC6ha8nN2m%2fGl4O2u8BRXs2S9kOagqCY14CNtwOE%3d,Slow White,4,SHAUN KRIEGER
14,0.0,Arielle Nelson,Handler,,"5'8""",0,0,0,0,/events/teams/?EventTeamId=FaEUC6ha8nN2m%2fGl4O2u8BRXs2S9kOagqCY14CNtwOE%3d,Slow White,4,ARIELLE NELSON
15,0.0,Emilia Scheemaker,Defense (Cutter),,"5'9""",0,0,0,0,/events/teams/?EventTeamId=FaEUC6ha8nN2m%2fGl4O2u8BRXs2S9kOagqCY14CNtwOE%3d,Slow White,4,EMILIA SCHEEMAKER
16,0.0,Eric Shaw,,,,0,0,0,0,/events/teams/?EventTeamId=FaEUC6ha8nN2m%2fGl4O2u8BRXs2S9kOagqCY14CNtwOE%3d,Slow White,4,ERIC SHAW
