,No.,Name,Position,Year,Height,Goals,Assists,Ds,Turns,url,Team,Seed,UpperName
18,32,Michaela Fallon,,,,0,0,0,0,/events/teams/?EventTeamId=mMzmGyV%2by14aQi0xfK%2bSgm8P2ID2hMSBySG62k5hi34%3d,Underground,13,MICHAELA FALLON
19,33,Catherine (Cate) Roscoe,Handler,,"5'5""",1,9,1,6,/events/teams/?EventTeamId=mMzmGyV%2by14aQi0xfK%2bSgm8P2ID2hMSBySG62k5hi34%3d,Underground,13,CATHERINE (CATE) ROSCOE
20,34,Caitlin Cordell,,,,0,0,0,0,/events/teams/?EventTeamId=mMzmGyV%2by14aQi0xfK%2bSgm8P2ID2hMSBySG62k5hi34%3d,Underground,13,CAITLIN CORDELL
21,36,Sophia Johansen,,,"5'4""",1,1,0,1,/events/teams/?EventTeamId=mMzmGyV%2by14aQi0xfK%2bSgm8P2ID2hMSBySG62k5hi34%3d,Underground,13,SOPHIA JOHANSEN
22,47,Amanda Kostic,,,,2,5,1,9,/events/teams/?EventTeamId=mMzmGyV%2by14aQi0xfK%2bSgm8P2ID2hMSBySG62k5hi34%3d,Underground,13,AMANDA KOSTIC
23,51,Katharine Dusenbury,,,,0,0,0,5,/events/teams/?EventTeamId=mMzmGyV%2by14aQi0xfK%2bSgm8P2ID2hMSBySG62k5hi34%3d,Underground,13,KATHARINE DUSENBURY
24,77,Taylor Hartman,Mid,,"5'4""",0,1,2,5,/events/teams/?EventTeamId=mMzmGyV%2by14aQi0xfK%2bSgm8P2ID2hMSBySG62k5hi34%3d,Underground,13,TAYLOR HARTMAN
25,91,Tessora Young,,,"5'8""",2,0,1,0,/events/teams/?EventTeamId=mMzmGyV%2by14aQi0xfK%2bSgm8P2ID2hMSBySG62k5hi34%3d,Underground,13,TESSORA YOUNG
0,1,Krystal Dos Santos,,,"5'5""",4,0,3,5,/events/teams/?EventTeamId=wbZzXgqyLAClubczZFuIumK4Jw5b6nxSMUvZiGbp0EM%3d,6ixers,8,KRYSTAL DOS SANTOS
1,4,Cindy Truong,,,,2,3,2,2,/events/teams/?EventTeamId=wbZzXgqyLAClubczZFuIumK4Jw5b6nxSMUvZiGbp0EM%3d,6ixers,8,CINDY TRUONG
2,6,Sarah Burke,Defense (Cutter),,"5'4""",0,0,0,4,/events/teams/?EventTeamId=wbZzXgqyLAClubczZFuIumK4Jw5b6nxSMUvZiGbp0EM%3d,6ixers,8,SARAH BURKE
3,7,Jeannette Quach,,,,4,2,4,9,/events/teams/?EventTeamId=wbZzXgqyLAClubczZFuIumK4Jw5b6nxSMUvZiGbp0EM%3d,6ixers,8,JEANNETTE QUACH
4,10,Destin McQuillan,,,"1'0""",2,1,1,1,/events/teams/?EventTeamId=wbZzXgqyLAClubczZFuIumK4Jw5b6nxSMUvZiGbp0EM%3d,6ixers,8,DESTIN MCQUILLAN
5,11,Laura Kinoshita,,,,6,1,3,5,/events/teams/?EventTeamId=wbZzXgqyLAClubczZFuIumK4Jw5b6nxSMUvZiGbp0EM%3d,6ixers,8,LAURA KINOSHITA
6,12,Joey Cheung,,,"4'11""",0,1,2,5,/events/teams/?EventTeamId=wbZzXgqyLAClubczZFuIumK4Jw5b6nxSMUvZiGbp0EM%3d,6ixers,8,JOEY CHEUNG
7,13,Anouchka Beaudry,,,,6,17,5,19,/events/teams/?EventTeamId=wbZzXgqyLAClubczZFuIumK4Jw5b6nxSMUvZiGbp0EM%3d,6ixers,8,ANOUCHKA BEAUDRY
8,14,Miriam Tingle,,,,7,5,3,5,/events/teams/?EventTeamId=wbZzXgqyLAClubczZFuIumK4Jw5b6nxSMUvZiGbp0EM%3d,6ixers,8,MIRIAM TINGLE
9,15,Jessie Wu,,,,0,2,1,1,/events/teams/?EventTeamId=wbZzXgqyLAClubczZFuIumK4Jw5b6nxSMUvZiGbp0EM%3d,6ixers,8,JESSIE WU
10,16,Jessica Chen,,,,0,4,3,9,/events/teams/?EventTeamId=wbZzXgqyLAClubczZFuIumK4Jw5b6nxSMUvZiGbp0EM%3d,6ixers,8,JESSICA CHEN
11,17,Nicolette Bertsch,,,"5'7""",0,0,0,1,/events/teams/?EventTeamId=wbZzXgqyLAClubczZFuIumK4Jw5b6nxSMUvZiGbp0EM%3d,6ixers,8,NICOLETTE BERTSCH
12,20,Lauren Kimura,,,"5'8""",2,9,4,20,/events/teams/?EventTeamId=wbZzXgqyLAClubczZFuIumK4Jw5b6nxSMUvZiGbp0EM%3d,6ixers,8,LAUREN KIMURA
13,22,Sarah Bobak,,,"5'7""",12,3,5,8,/events/teams/?EventTeamId=wbZzXgqyLAClubczZFuIumK4Jw5b6nxSMUvZiGbp0EM%3d,6ixers,8,SARAH BOBAK
14,26,Jennifer Lam,Handler,,"5'3""",0,0,1,3,/events/teams/?EventTeamId=wbZzXgqyLAClubczZFuIumK4Jw5b6nxSMUvZiGbp0EM%3d,6ixers,8,JENNIFER LAM
15,28,Jenna McLeod,,,,2,0,3,2,/events/teams/?EventTeamId=wbZzXgqyLAClubczZFuIumK4Jw5b6nxSMUvZiGbp0EM%3d,6ixers,8,JENNA MCLEOD
16,35,Molly Lewis,,,,1,1,0,2,/events/teams/?EventTeamId=wbZzXgqyLAClubczZFuIumK4Jw5b6nxSMUvZiGbp0EM%3d,6ixers,8,MOLLY LEWIS
17,51,Sarah Innes,,,,5,1,2,4,/events/teams/?EventTeamId=wbZzXgqyLAClubczZFuIumK4Jw5b6nxSMUvZiGbp0EM%3d,6ixers,8,SARAH INNES
18,53,Christine Jurychuk,,,,2,0,3,1,/events/teams/?EventTeamId=wbZzXgqyLAClubczZFuIumK4Jw5b6nxSMUvZiGbp0EM%3d,6ixers,8,CHRISTINE JURYCHUK
19,77,Karen Chan,,,,1,3,2,4,/events/teams/?EventTeamId=wbZzXgqyLAClubczZFuIumK4Jw5b6nxSMUvZiGbp0EM%3d,6ixers,8,KAREN CHAN
20,90,Jordan Meron,,,,7,8,3,14,/events/teams/?EventTeamId=wbZzXgqyLAClubczZFuIumK4Jw5b6nxSMUvZiGbp0EM%3d,6ixers,8,JORDAN MERON
21,91,Erica Tucker,,,,5,6,4,10,/events/teams/?EventTeamId=wbZzXgqyLAClubczZFuIumK4Jw5b6nxSMUvZiGbp0EM%3d,6ixers,8,ERICA TUCKER
22,93,Naomi Redmond,,,"5'7""",1,1,2,8,/events/teams/?EventTeamId=wbZzXgqyLAClubczZFuIumK4Jw5b6nxSMUvZiGbp0EM%3d,6ixers,8,NAOMI REDMOND
0,1,Julie Eagle Malecek,,,"5'9""",2,4,8,13,/events/teams/?EventTeamId=4KnPmP6%2fREnhD5pr%2ftBEjZNgDl%2fPCSaSDCysdOJMo8o%3d,Showdown,12,JULIE EAGLE MALECEK
1,2,Elise Bjork,,,,3,10,2,14,/events/teams/?EventTeamId=4KnPmP6%2fREnhD5pr%2ftBEjZNgDl%2fPCSaSDCysdOJMo8o%3d,Showdown,12,ELISE BJORK
2,5,Andrea Esparza,,,"5'3""",3,3,5,15,/events/teams/?EventTeamId=4KnPmP6%2fREnhD5pr%2ftBEjZNgDl%2fPCSaSDCysdOJMo8o%3d,Showdown,12,ANDREA ESPARZA
3,6,Ivy Harrison,,,"5'4""",2,2,0,0,/events/teams/?EventTeamId=4KnPmP6%2fREnhD5pr%2ftBEjZNgDl%2fPCSaSDCysdOJMo8o%3d,Showdown,12,IVY HARRISON
4,7,Shiru Liu,,,,0,4,3,6,/events/teams/?EventTeamId=4KnPmP6%2fREnhD5pr%2ftBEjZNgDl%2fPCSaSDCysdOJMo8o%3d,Showdown,12,SHIRU LIU
5,9,Laura Landis,,,,0,1,0,1,/events/teams/?EventTeamId=4KnPmP6%2fREnhD5pr%2ftBEjZNgDl%2fPCSaSDCysdOJMo8o%3d,Showdown,12,LAURA LANDIS
6,10,Gaby Cuina,,,"10'11""",2,1,0,2,/events/teams/?EventTeamId=4KnPmP6%2fREnhD5pr%2ftBEjZNgDl%2fPCSaSDCysdOJMo8o%3d,Showdown,12,GABY CUINA
7,11,Katey Forth,,,,4,10,2,17,/events/teams/?EventTeamId=4KnPmP6%2fREnhD5pr%2ftBEjZNgDl%2fPCSaSDCysdOJMo8o%3d,Showdown,12,KATEY FORTH
8,13,Jennifer Schmerling,,,,1,1,2,10,/events/teams/?EventTeamId=4KnPmP6%2fREnhD5pr%2ftBEjZNgDl%2fPCSaSDCysdOJMo8o%3d,Showdown,12,JENNIFER SCHMERLING
9,14,Edith Teng,,,,1,2,0,6,/events/teams/?EventTeamId=4KnPmP6%2fREnhD5pr%2ftBEjZNgDl%2fPCSaSDCysdOJMo8o%3d,Showdown,12,EDITH TENG
10,16,Sarah Levinn,,,,11,9,4,8,/events/teams/?EventTeamId=4KnPmP6%2fREnhD5pr%2ftBEjZNgDl%2fPCSaSDCysdOJMo8o%3d,Showdown,12,SARAH LEVINN
11,17,Marissa Land,,,,0,1,2,5,/events/teams/?EventTeamId=4KnPmP6%2fREnhD5pr%2ftBEjZNgDl%2fPCSaSDCysdOJMo8o%3d,Showdown,12,MARISSA LAND
12,18,Laura Gerencser,,,,5,3,3,6,/events/teams/?EventTeamId=4KnPmP6%2fREnhD5pr%2ftBEjZNgDl%2fPCSaSDCysdOJMo8o%3d,Showdown,12,LAURA GERENCSER
13,21,Valerie Pinillos,,,,1,1,0,1,/events/teams/?EventTeamId=4KnPmP6%2fREnhD5pr%2ftBEjZNgDl%2fPCSaSDCysdOJMo8o%3d,Showdown,12,VALERIE PINILLOS
14,22,Julia Schmaltz,,,"5'10""",8,3,6,10,/events/teams/?EventTeamId=4KnPmP6%2fREnhD5pr%2ftBEjZNgDl%2fPCSaSDCysdOJMo8o%3d,Showdown,12,JULIA SCHMALTZ
